name,email,phone,company,segment,total_spent,order_count,days_since_last_order,churned
Acme Corp,contact@acme.com,+1-555-0101,Acme Inc,enterprise,125000,48,12,0
Beta LLC,info@beta.com,+1-555-0102,Beta LLC,smb,8500,6,95,1
Gamma Systems,hello@gamma.com,+1-555-0103,Gamma Systems,enterprise,98000,35,8,0
Delta Shop,shop@delta.com,+1-555-0104,Delta Retail,smb,3200,3,120,1
Echo Tech,team@echo.com,+1-555-0105,Echo Tech,mid_market,42000,22,25,0
Fox Industries,ops@fox.com,+1-555-0106,Fox Industries,enterprise,156000,62,5,0
Green Foods,order@green.com,+1-555-0107,Green Foods,smb,2100,2,180,1
Helix Labs,lab@helix.com,+1-555-0108,Helix Labs,mid_market,38500,18,30,0
Iron Works,mail@iron.com,+1-555-0109,Iron Works,smb,5600,4,75,1
Jet Logistics,ship@jet.com,+1-555-0110,Jet Logistics,enterprise,210000,88,3,0
User 11,user11@example.com,9054324630,Helix Labs,smb,945,1,260,987
User 12,user12@example.com,9556606460,Acme Inc,enterprise,88,949,511,218
User 13,user13@example.com,9977498955,Delta Retail,mid_market,315,360,395,551
User 14,user14@example.com,9143834998,Iron Works,smb,715,965,484,940
User 15,user15@example.com,9201325230,Acme Inc,smb,208,864,310,747
User 16,user16@example.com,9477138444,Delta Retail,enterprise,781,141,144,175
User 17,user17@example.com,9304334875,Acme Inc,enterprise,104,788,670,813
User 18,user18@example.com,9896142597,Acme Inc,smb,475,155,333,897
User 19,user19@example.com,9871808555,Acme Inc,mid_market,508,880,633,363
User 20,user20@example.com,9405874310,Jet Logistics,mid_market,499,416,642,609
User 21,user21@example.com,9461815617,Echo Tech,smb,264,531,105,649
User 22,user22@example.com,9911810572,Gamma Systems,smb,169,757,120,500
User 23,user23@example.com,9304396087,Beta LLC,enterprise,741,963,320,46
User 24,user24@example.com,9024434632,Fox Industries,smb,139,100,865,899
User 25,user25@example.com,9334562579,Beta LLC,mid_market,923,868,6,411
User 26,user26@example.com,9594851815,Iron Works,mid_market,653,133,300,773
User 27,user27@example.com,9167461934,Echo Tech,enterprise,396,969,980,283
User 28,user28@example.com,9056507096,Gamma Systems,enterprise,190,112,725,83
User 29,user29@example.com,9238884611,Helix Labs,smb,191,479,222,397
User 30,user30@example.com,9611785283,Green Foods,mid_market,82,575,481,801
User 31,user31@example.com,9088325385,Beta LLC,enterprise,341,396,92,123
User 32,user32@example.com,9849127793,Acme Inc,smb,984,217,847,501
User 33,user33@example.com,9217030850,Fox Industries,enterprise,329,832,265,274
User 34,user34@example.com,9736686894,Fox Industries,smb,717,447,583,864
User 35,user35@example.com,9047531265,Delta Retail,enterprise,510,315,17,828
User 36,user36@example.com,9498612633,Echo Tech,smb,671,987,831,821
User 37,user37@example.com,9279007205,Fox Industries,mid_market,700,809,670,105
User 38,user38@example.com,9671223918,Fox Industries,mid_market,868,586,91,52
User 39,user39@example.com,9855472698,Green Foods,enterprise,372,647,363,170
User 40,user40@example.com,9077284592,Acme Inc,enterprise,330,870,570,76
